,"Índice de producción industrial, INE (base 2009=100)","Índice de producción industrial, INE (base 2014=100)",Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),"Índice producción industrial, SOFOFA (2003=100)","Índice producción industrial, SOFOFA (2014=100)",Índice de ventas industriales SOFOFA (base 2014=100),Índice de ventas industriales SOFOFA (base 2003=100),Índice de ventas industriales SOFOFA (base 2000=100),MA
2012-01-05,110.76401216586434,97.5816142256686,,,,,119.31396008973202,102.91436767578125,102.3115234375,114.7845234567022,,94.77299562034034
2012-01-06,107.18618882363525,94.4295996830193,,,,,111.44041707259785,100.32379913330078,100.3930892944336,109.80012576215039,,95.05545107032502
2012-01-07,103.52225791293478,91.2017255234765,,,,,110.03425551051532,100.66336059570312,99.03304290771484,109.687976675518,,95.473384251973
2012-01-08,111.4886707942176,98.2200287913254,,,,,114.15767659834368,105.23280334472656,103.57777404785156,115.42809114915163,,95.92470105257586
2012-01-09,104.9986071072582,92.5023694305166,,,,,104.09678984990678,93.81720733642578,94.0764389038086,105.24908020702857,,95.93527151810646
2012-01-10,115.11995972502099,101.419145802878,,,,,119.51164545406489,107.13043212890625,109.81134796142578,122.61058040635206,,96.33939864198418
2012-01-11,113.75192982967512,100.213929750421,,,,,116.92079128748111,103.72325897216797,103.1220474243164,117.20081362056686,,96.56875166890255
2012-01-12,115.83813925554125,102.051852369944,,,,,117.3102965302356,105.38114929199219,108.66941833496094,121.69567679419956,,96.42578741746472
2013-01-01,113.35661221070377,99.8656602119961,,,,,118.03594415201705,101.86322784423828,96.7002944946289,112.52109236233451,,96.92185714417063
2013-01-02,104.9602815656675,92.4686051406415,,,,,110.84371317019787,91.49659729003906,93.4765625,111.83671983589262,,97.11282528613928
2013-01-03,116.64388622483109,102.761704680124,,,,,123.1175272725475,99.7150650024414,94.10529327392578,115.36961964753723,,97.33562980700354
2013-01-04,109.88670451027096,96.8087179073487,,,,,118.90736178346943,100.27088928222656,99.56005096435547,114.8032972772429,,97.46041279311329
